"Registrant","Registration #","RegistrationDate","TerminationDate"
"Connector International Inc.","7511","12/30/2024",""
"Conner, Stephen N.","2870","03/17/1978","04/03/1987"
"Connole & O'Connell","2413","03/21/1973","09/22/1976"
"Connor, Gary Steven","7445","08/16/2024",""
"Connor, Geoffrey S.","5736","03/08/2006","09/30/2007"
"Conover & Company Communications, Inc.","5160","03/03/1997","11/19/1997"
"Conover & Company Communications, Inc.","4809","05/28/1993","10/22/1993"
"Conover & Company Communications, Inc.","5047","09/04/1995","03/31/1996"
"Conover + Company Communications","5994","07/21/2010","08/24/2010"
"Conover + Company Communications, Inc.","6125","08/20/2012","01/11/2013"
"Conover + Company Communications, Inc.","6044","05/25/2011","08/02/2011"
"Conover + Gould Strategic Communications, Inc.","6205","01/21/2014","01/18/2018"
"Consejo de Liberacion Interno en Armas (C.L.I.A.)","1883","04/15/1965","08/21/1968"
"Conservative Action Pact, Inc.","4100","08/18/1987","08/18/1987"
"Conservative Victory Committee - State Election Fund","4241","04/21/1989","07/20/1989"
"Consilio Group","6883","11/03/2020","11/20/2020"
"Consulate General to W.D.C. of the Republic of San Marino","3361","04/22/1982","10/22/2001"
"Conteas, Nicholas C.","3030","06/13/1979","04/26/1994"
"Continental Strategy LLC","7545","02/24/2025",""
"Continental Travel Agency","997","02/01/1957","02/26/1960"
"Continental-Allied Company","885","04/05/1955","08/30/1955"
"Convention Consultants - Helen Spiess Morgan","1080","11/05/1957","03/15/1960"
"Cook Ruef, Inc.","3260","07/16/1981","12/13/1989"
"Cook, Bobby Lee","2825","08/24/1977","02/14/1978"
"Cook, J. Crawford","3191","01/22/1981","01/16/1991"
"Cook, Ruef, Spann & Weiser, Inc.","2898","05/09/1978","10/27/1980"
"Cooke Robotham, LLC","6372","08/26/2016","09/30/2017"
"Cooley, Harold D.","2254","04/22/1971","10/14/1971"
"Cooper, Harold","1155","07/09/1958","03/02/1973"
"Cooper, Mitchell J.","1615","04/05/1963","03/30/1985"
"Cooperative Association of Professionals, Inc.","3255","07/02/1981","07/02/1981"
"Coordinadora de Organizaciones Empresariales de Comercio Ext","4498","04/12/1991","04/11/1995"
"Coordinadora de Organizaciones Empresariales de Comercio Exterior (COECE)","5029","06/05/1995","12/24/1996"
"Copel, Rita Bernice","797","11/18/1953","11/17/1954"
"Copithorne & Blakely Corporation","7003","09/01/2021","12/15/2021"
"Copper Strategies LLC","6884","10/30/2020","03/31/2021"
"Corallo Media Strategies, Inc","6602","10/19/2018",""
"Corcoran Jr., Thomas G.","3422","11/29/1982","05/29/1990"
"Corcoran, Hardesty, Whyte, Hemphil & Ligon, P.C.","3528","10/06/1983","11/12/1985"
"Corcoran, Howard F.","940","04/06/1956","10/06/1956"
"Corley, Walter","6106","05/31/2012","09/30/2012"
"Cornell, Pelcovits & Brenner Economists, Inc.","3348","03/26/1982","09/26/1983"
"Cornerstone Government Affairs","6401","01/20/2017",""
"Cornerstone Government Affairs, LLC","6211","03/07/2014","10/31/2015"
"Corporacion de Fomento de la Produccion","401","12/23/1946","03/31/1997"
"Corporacion del Cobre (U.S.A.), Inc.","3651","02/27/1985","05/06/1987"
"Corporation for the Development of Andorran Tourism","4299","09/15/1989","11/04/1991"
"Corr Analytics, Inc.","6334","01/06/2016","03/31/2017"
"Corrigan, Mairead","2784","06/07/1977","02/08/1979"
"Corsing, Dr. Fritz","599","11/14/1949","05/15/1953"
"Cortell, Jules","1368","06/08/1960","07/24/1968"
"Cory Aquino Campaign Fund","3769","01/16/1986","03/12/1986"
"Cosgrove, John P.","2152","07/14/1969","02/17/1970"
"Cosmo Public Relations","4434","11/13/1990","05/31/1991"
"Cosmos Parcels Express Corp./Rumanian Export Parcels Corp.","1246","07/10/1959","04/24/1987"
"Cosmos Travel Bureau, Inc.","918","11/07/1955","08/09/1960"
"Cosmos, Inc.","4519","05/31/1991","11/30/1999"
"Costa Rica Board of Trade","2219","11/20/1970","02/28/1972"
"Costa Rican Board of Trade","2370","08/21/1972","02/28/2010"
"Costello, Stephen","5065","10/27/1995","03/31/1996"
"Costello, William Aloysious","1004","02/26/1957","12/15/1957"
"Cotchett, Pitre & McCarthy, LLP","7480","10/21/2024",""
"Cotton, Seligman & Ray","2813","07/22/1977","07/22/1978"
"Coudert Brothers","3743","10/02/1985","10/27/1994"
"Coudert Brothers","5254","04/23/1998","05/31/2001"
"Coudert Brothers","3287","10/07/1981","12/20/1982"
"Coudert Brothers","1811","11/02/1964","11/30/1967"
"Coudert Brothers","2222","11/24/1970","12/15/1972"
"Coudert Brothers","2440","07/02/1973","02/04/1977"
"Council for Trade and Economic Cooperation USA-CIS","5748","04/25/2006","11/30/2010"
"Council of European & Japanese National Shipowners' Assn.","5045","09/14/1995","12/31/1995"
"Council of Khalistan","4137","05/11/1988","05/11/2003"
"Council of Khalistan","5597","01/21/2004","07/31/2015"
"Counselors for Management, Inc.","3431","12/22/1982","01/08/1990"
"CounterTerrorism Consultants, L.P.","4294","09/18/1989","10/25/1990"
"Counterpoint Strategies LTD","7113","05/05/2022","07/31/2022"
"Courtney & McCamant","2116","12/03/1968","06/21/1974"
"Courtney, Garrison K.","6114","07/16/2012","07/16/2012"
"Courville Consultants, LLC","6606","11/05/2018","04/01/2019"
"Courville Consultants, LLC","6327","11/13/2015","04/30/2018"
"Coury, William Simon","3536","10/05/1983","01/31/1991"
"Cove, Cooper & Lewis, Inc.","3067","11/06/1979","04/22/1991"
"Covington & Burling","4807","05/26/1993","12/28/1994"
"Covington & Burling","523","04/16/1948","11/16/1977"
"Covington & Burling","5489","04/01/2002","04/30/2003"
"Covington & Burling LLP","6876","10/13/2020",""
"Covington & Burling, LLP","5852","02/05/2008","02/28/2017"
"Covington & Burling, LLP","5621","05/07/2004","08/31/2007"
"Cowan Strategies Company","6452","08/09/2017","02/28/2018"
"Cox, Oscar S.","341","01/28/1946","07/28/1952"
"Coyne Public Relations, LLC","6177","08/07/2013","11/30/2023"
"Craft Media Digital, LLC","6463","09/15/2017","12/01/2017"
"Craig J. Spence & Associates","3646","01/29/1985","07/02/1987"
"Craig J. Spence & Associates, Inc.","3041","07/17/1979","09/06/1984"
"Craig Shirley & Associates","4743","06/05/1992","08/26/1993"
"Craig Shirley & Associates, Inc.","5340","11/03/1999","11/30/1999"
"Craighill & Fentress","2756","02/11/1977","07/18/1984"
"Cramer & Lipsen","2570","04/01/1975","09/26/1979"
"Cramer, Haber & Lukis, P.C.","3403","08/24/1982","02/24/1985"
"Crandall, Robert W.","4823","06/25/1993","12/31/1993"
"Crane, Howard C.","5281","10/26/1998","10/26/1999"
"Crane, Jonathan A.","4857","10/07/1993","10/31/1995"
"Cranford Johnson Robinson Woods, Inc.","5905","02/04/2009","08/31/2010"
"Cravath, Swaine & Moore LLP","7358","01/04/2024","01/04/2024"
"Craven, Andrew John","5410","02/08/2001","08/31/2002"
"Crawford & Company Public Relations","4796","04/16/1993","02/15/1995"
"Creative Food Service, Inc.","2432","06/12/1973","01/30/1979"
"Creative Response Concepts","4477","02/28/1991","09/02/1993"
"Creative Response Concepts, Inc.","5705","08/24/2005","08/24/2005"
"Creativision, Inc.","1515","01/30/1962","08/03/1966"
"Credit Veritas USA, LLC & Uriel Rubinov","6441","04/14/2017","12/27/2017"
"Crescent Consultants, LLC","5944","06/17/2009","06/30/2010"
"Crescenzi, Gene","2238","01/26/1971","03/06/1973"
"Crestview Strategy USA LLC","6858","08/21/2020",""
"Crockford, Peter James","1413","12/06/1960","06/06/1961"
"Cronson, Donald","2943","08/10/1978","08/10/1979"
"Cross, John W.","956","06/11/1956","11/30/1958"
"Crosscurrents Press, Inc.","1308","12/09/1959","06/21/1965"
"Crossriver Inc.","7372","02/09/2024","07/06/2024"
"Crossroads Strategies LLC","6508","01/18/2018","01/18/2018"
"Crossroads Strategies LLC","6891","11/13/2020","10/31/2021"
"Crossroads Strategies LLC","6702","07/18/2019","10/31/2019"
"Crossworld Books & Periodicals, Inc.","1457","06/19/1961","12/19/1968"
"Crossworld of Indiana, Inc.","4935","08/02/1994","03/27/1995"
"Crowe, Robert Barry","6929","02/25/2021","03/31/2022"
"Crowell & Moring","3987","05/29/1987","09/15/1994"
"Crowell & Moring","3058","09/11/1979","05/17/1983"
"Crowell & Moring","4958","10/03/1994","05/03/1995"
"Crowell & Moring LLP","7129","06/15/2022",""
"Crowell Global Advisors","3988","05/28/1987",""
"Crum, Bartley C.","1095","12/20/1957","12/10/1959"
"Crystal Group, Inc.","5051","09/18/1995","01/02/1998"
"Cuba Libre (Movimiento del Pueblo Libre)","1356","04/26/1960","04/26/1964"
"Cuban Army of Liberation - Organizing Commission","1562","07/23/1962","07/23/1962"
"Cuban Chamber of Commerce in the U.S., Inc.","287","01/04/1945","01/04/1945"
"Cuban Liberation Movement of July 26th","1150","06/18/1958","06/18/1958"
"Cuban Revolutionary Party (Autentico)","1594","01/30/1963","07/19/1966"
"Cuban Tourist Commission, Miami Office","390","11/04/1946","12/31/1959"
"Cuban Tourist Commission, New York Office","1369","06/13/1960","06/13/1960"
"Culbertson, Pendleton & Pendleton","637","08/10/1950","08/10/1962"
"Culbertson, William S.","421","01/10/1947","06/19/1950"
"Culic, Davor","1959","01/24/1966","08/15/1967"
"Culver Advertising, Inc., a California Corporation","2582","05/06/1975","02/15/1977"
"Culver International, Inc.","2466","10/12/1973","08/03/1976"
"Cumber, Sada","6921","02/02/2021","02/02/2021"
"Cummings, Sellers, Reeves & Conner","420","01/09/1947","11/01/1960"
"Cunningham & Walsh, Inc.","747","12/05/1952","12/31/1954"
"Curacao Tourist Board Through Rendine Travel Associates, Inc","2325","03/02/1972","01/27/1981"
"Curacao Tourist Board, Coral Gables","2324","03/02/1972","07/13/1976"
"Curacao Tourist Board, Miami","3269","08/17/1981","04/25/1984"
"Curacao Tourist Board, New York","3209","03/10/1981","09/10/2000"
"Curley Company, Inc.","6363","07/01/2016","12/31/2016"
"Curry III, C. Thomas","3334","02/18/1982","02/11/1985"
"Curti Messina, Segundo","802","12/02/1953","06/02/1955"
"Curtis J. Hoxter, Inc.","1111","01/28/1958","01/28/1976"
"Curtis J. Hoxter, Inc.","2912","06/09/1978","12/31/1987"
"Curtis, Claude H.","2151","07/11/1969","07/30/1969"
"Cushing, Caroline Jane","2184","01/21/1970","04/25/1972"
"Cushman, Darby & Cushman","4013","07/14/1987","07/14/1987"
"Cutler & Stanfield","4993","02/08/1995","08/31/1995"
"Cutmore, Ross H.","3981","05/19/1987","11/19/1987"
"Cutsforth, Clarence Charles","6720","09/10/2019","09/10/2019"
"Cypress Press (U.S.A.), Inc.","3918","12/23/1986","01/21/1988"
"Czech Center, New York","5115","06/21/1996",""
"Czechoslovak Economic Council, Inc.","416","12/24/1946","12/24/1946"
"Czechoslovak News Agency","1118","02/03/1958","02/03/1960"
"Czechoslovak Travel Service","511","02/04/1948","02/04/1948"
"D&F All Americas Investors, Inc.","581","07/12/1949","01/12/1950"
"D'Aumale, Claude","141","10/15/1942","10/15/1942"
"D. Michael Murray, Inc.","2927","07/10/1978","08/10/1983"
"D. Parke Gibson International, Inc.","2359","07/21/1972","10/16/1974"
"D.C. Association for Retarded Citizens (DCARC)","2683","04/13/1976","05/24/1977"
"DB Communications, LLC","5634","07/22/2004","12/31/2004"
"DB Ink LLC","7308","08/09/2023","08/09/2023"
"DC International Advisory, LLC","6865","09/03/2020","10/25/2021"
"DC International, Inc.","4210","01/25/1989","06/30/1993"
"DCI Group AZ, LLC","6278","03/03/2015",""
"DCI Group, L.L.C.","5497","05/13/2002","01/31/2003"
"DCI Group, LLC","6140","10/05/2012","11/01/2013"
"DCS Group","5269","08/13/1998","08/31/2000"
"DCS Group","5493","04/10/2002","04/10/2002"
"DCS Group, Inc.","4924","07/08/1994","01/31/1996"
"DDB Canada","7099","03/18/2022","03/08/2024"
"DDB Worldwide Communications Group, Inc.","1066","09/16/1957","03/16/2002"
"DDB Worldwide Communications Group, Inc.","5968","12/23/2009","12/23/2009"
"DDC Productions, Inc.","2974","11/01/1978","06/21/2004"
"DEACERO S.A.P.I. de C.V. (DEACERO)","7013","09/07/2021","09/30/2024"
"DGA Group LLC","7321","09/12/2023",""
"DGA International, Inc.","2621","10/28/1975","05/04/1995"
"DGA International, Inc.","2206","08/19/1970","02/19/1971"
"DGL International Publishing, Ltd., Liability Company","4730","11/03/1992","05/26/1994"
"DJJ Communications, Inc.","2371","08/24/1972","05/08/1974"
"DLA Piper US LLP","3712","08/05/1985",""
"DLM Group, LLC","6428","05/10/2017","07/31/2018"
"DMP International, LLC","6440","06/27/2017","02/28/2014"
"DMRansom Associates, Inc.","5256","05/19/1998","10/30/1998"
"DMS, Inc.","5077","11/16/1995","06/14/1996"
"DNR International Group","4899","03/09/1994","12/31/1994"
"DNX Partners, LLC","5734","02/23/2006","02/28/2007"
"DS Simon Productions, Inc.","3973","05/06/1987","05/06/1993"
"DSP, Inc.","3014","04/30/1979","05/02/1984"
"DSR International, Inc.","3068","11/15/1979","06/04/1980"
"DT Strategies, Inc.","6054","08/09/2011","07/31/2012"
"DTB Associates, LLP","5890","10/28/2008","04/30/2009"
"DUTKO WORLDWIDE, LLC DBA GRAYLING","6270","01/15/2015","07/31/2016"
"DUTKO Worldwide, LLC","5904","01/21/2009","01/31/2010"
"DWJ Associates, Inc.","2947","08/18/1978","08/18/1987"
"DYR Public Affairs, Inc.","3684","05/28/1985","07/18/1985"
"Da Costa, Mario Navarro","3863","07/29/1986","03/14/1989"
"Dadian, Arnold Harry","796","11/18/1953","04/22/1963"
"Daedalus International Corporation","5186","06/19/1997","12/31/1997"
"Dahomey Philatelic Agency, Ltd.","1354","04/18/1960","12/31/1963"
"Dailey & Associates","2299","12/27/1971","12/27/1984"
"Daimler-Benz Washington, Inc.","4485","03/14/1991","12/31/1995"
"Daimler-Chrysler Aerospace of North America, Inc.","4719","10/09/1992","10/31/1999"
"Dale Henderson, Inc.","2926","07/06/1978","02/08/1980"
"Dale, John Byron","2602","08/11/1975","08/11/1975"
"Dalley, George A.","5393","10/23/2000","02/28/2001"
"Daloisio Global LLC","6986","08/04/2021","08/31/2021"
"Dalton, Danny","7390","03/27/2024",""
"Danaher, John Anthony","752","01/15/1953","06/30/1953"
"Dancer Fitzgerald Sample, Inc.","2539","10/09/1974","12/01/1978"
"Danforth Investigation Bureau","1012","03/19/1957","03/19/1957"
"Daniel J. Edelman of New York, Inc.","2708","07/17/1976","01/31/1977"
"Daniel J. Edelman, Inc.","2449","08/09/1973","03/13/1974"
"Daniel J. Edelman, Inc.","3634","11/15/1984",""
"Daniel J. Edelman, Inc.","2523","07/01/1974","07/01/1974"
"Daniel J. Edelman, Inc.","3657","03/12/1985","09/30/2009"
"Daniel J. Edelman, Inc.","2640","12/15/1975","06/14/1976"
"Daniel J. Edelman, Inc. - San Francisco","5664","12/28/2004","12/31/2005"
"Daniel J. Piliero, II, P.C.","3680","05/21/1985","06/10/1986"
"Daniel T. O'Brien & Associates","557","01/24/1949","07/31/1949"
"Danielopol, Dumitru G.","2553","01/21/1975","02/02/1976"
"Daniels, Carroll Samuel","1438","04/12/1961","09/11/1963"
"Daniels, Houlihan & Palmeter","2072","01/30/1968","03/26/1986"
"Danielson, George E.","1154","07/01/1958","01/01/1959"
"Danielson, Walter G.","180","03/06/1943","03/06/1943"
"Danish Gift Parcel Company","1127","03/31/1958","07/14/1958"
"Danish Information Office","470","06/02/1947","09/04/1973"
"Danish Society","578","07/07/1949","07/07/1949"
"Danner, Richard G.","1645","07/16/1963","06/30/1968"
"Danny Dalton","7281","06/01/2023","08/04/2023"
"Danovitch, Sylvia Eisner","3563","03/09/1984","03/26/1985"
"Daoust, Charles Franklin","3629","11/06/1984","11/02/1988"
"Darius International, Inc.","3713","08/06/1985","06/06/1988"
"Darlene Richeson & Associates, LLC","5786","01/24/2007","04/01/2013"
"Daschle Group, LLC","6280","03/16/2015",""
"Datcu, Martin","2625","11/03/1975","03/03/1989"
"Dater, Elliot","4322","12/06/1989","12/31/1994"
"David  E. Morey","4688","07/09/1992","03/07/1995"
"David Apter & Associates","1690","02/13/1964","02/01/1966"
"David Apter & Associates, Inc.","3133","08/05/1980","02/05/1991"
"David Berger, P.A.","3009","03/30/1979","03/09/1981"
"David D. O'Brien & Associates","4165","08/04/1988","10/01/1993"
"David Haworth Associates, Inc.","3653","09/11/1984","12/17/1986"
"David M. Grant, Inc.","3900","10/22/1986","09/15/1987"
"David Morey Group, Inc. (DMG)","5236","02/19/1998","03/31/2000"
"David P. Stang, P.C.","3886","09/22/1986","03/31/1987"
"David P. Stang, P.C.","4321","12/05/1989","08/05/1992"
"Davidoff Hutcher & Citron, LLP","6169","05/13/2013","11/30/2014"
"Davidson, I. Irving","886","04/18/1955","06/18/1973"
"Davidson, I. Irving","3084","01/31/1980","07/31/1980"
"Davidson, John F.","1808","10/29/1964","04/28/1967"
"Davidson, Martha Golden","1022","05/07/1957","02/18/1966"
"Davies, Harry","196","06/11/1943","06/11/1943"
"Davies, Richberg, Tydings, Beebe & Landa","585","07/28/1949","08/28/1951"
"Davies, Richberg, Tydings, Landa & Duff","748","12/17/1952","02/09/1961"
"Davis & Harman","4018","07/28/1987","12/31/1995"
"Davis & McLeod","3144","04/27/1980","12/23/1981"
"Davis Goldberg & Galper, PLLC","6394","11/23/2016","07/20/2019"
"Davis Manafort & Freedman, Inc.","5240","03/03/1998","03/31/2000"
"Davis Public Relations, Inc.","2647","12/23/1975","06/30/1977"
"Davis Public Relations, Inc.","2462","10/01/1973","06/26/1974"
"Davis Whitner & Associates, Inc.","3708","07/31/1985","05/05/1986"
"Davis Wright Tremaine","4382","06/05/1990","12/31/1991"
"Davis Wright Tremaine LLP","7166","09/09/2022","09/30/2023"
"Davis, Christopher L.","3435","01/10/1983","10/13/1983"
"Davis, Gerhold O.","89","08/11/1942","02/11/1943"
"Davis, Gillenwater, Lynch & Doane","3089","02/15/1980","02/24/1981"
"Davis, Manafort & Freedman","5173","04/16/1997","04/30/1997"
"Davis, Michael R.","4760","01/28/1993","02/17/1995"
"Davis, Polk & Wardell","785","08/21/1953","08/21/1972"
"Davis, Polk & Wardwell","3261","07/13/1981","07/26/1983"
"Davis, Susan E.","4297","09/26/1989","05/17/1990"
"Davis, William Jackson","3448","02/11/1983","12/14/1988"
"Davis, Wright, & Jones","3986","05/27/1987","12/31/1987"
"Davis-Block, LLC","6010","12/17/2010","10/11/2011"
"Davisworks","4384","06/06/1990","08/09/1993"
"Davod, Mohammed Sulieman","1070","08/09/1957","08/09/1957"
"Dawkins, Dymally & Associates","5190","07/07/1997","01/31/1998"
"Dawson Mathis & Associates, Inc.","4278","08/10/1989","06/26/1990"
"Dawson, Donald Roy","1581","11/14/1962","06/24/1969"
"Dawson, Quinn, Riddell, Taylor & Davis","1547","06/01/1962","03/21/1971"
"De Aguirre, Jose Antonio","270","07/11/1944","07/11/1947"
"De Agustin, Don Manuel","47","07/15/1942","02/11/1946"
"De Arrieta, Henriette Jauny","143","10/15/1942","10/15/1942"
"De Arrieta, Juan","142","10/15/1942","10/15/1942"
"De Bessenyey, Gabor","1582","11/19/1962","11/19/1962"
"De Bisschop, Eric","109","08/28/1942","03/25/1945"
"De Carreras, Josefa Moreno","1124","03/19/1958","03/19/1958"
"De Chambrier, Therese","193","05/19/1943","06/19/1943"
"De Cleve, Frank","1526","03/16/1962","08/23/1965"
"De Cuello, Luz Carolina Mainardi","1424","02/01/1961","02/01/1961"
"De Garmo-McCaffery, Inc.","1821","11/25/1964","02/14/1971"
"De Give, Henry L.","700","12/26/1951","09/17/1959"
"De Guinzbourg, Victor","2107","10/17/1968","04/17/1969"
"De Irala, Antonio","232","01/29/1944","07/29/1949"
